id_planta,nombre,anillo,radio_interno_m,radio_externo_m,year,lst_celsius,ndvi
1,Mayorca Solar|AES Panamá,0_500m,0,500,2019,34.71136426481122,0.5598725636259076
1,Mayorca Solar|AES Panamá,500_1000m,500,1000,2019,34.47277690707726,0.5610857456669078
1,Mayorca Solar|AES Panamá,1000_2000m,1000,2000,2019,34.38577419805372,0.5606511434485928
2,Planta Solar PSZ1,0_500m,0,500,2019,34.960565296092426,0.5377941151311834
2,Planta Solar PSZ1,500_1000m,500,1000,2019,34.98054508444439,0.5440465656858592
2,Planta Solar PSZ1,1000_2000m,1000,2000,2019,34.64351828685882,0.5302127356271087
3,Los Ángeles,0_500m,0,500,2019,34.985310853641785,0.4896182694235422
3,Los Ángeles,500_1000m,500,1000,2019,34.959123687328216,0.513089235164091
3,Los Ángeles,1000_2000m,1000,2000,2019,34.863256301194035,0.5439879499922001
4,Planta solar sin nombre 1,0_500m,0,500,2019,35.41101945404341,0.5257281645484949
4,Planta solar sin nombre 1,500_1000m,500,1000,2019,35.45780424099369,0.5576125450667523
4,Planta solar sin nombre 1,1000_2000m,1000,2000,2019,35.5558417224209,0.5823985744942095
5,Argentum Solar,0_500m,0,500,2019,33.54388787665406,0.6701033794101101
5,Argentum Solar,500_1000m,500,1000,2019,33.562917851955476,0.6537628012390524
5,Argentum Solar,1000_2000m,1000,2000,2019,33.47074153892564,0.6564180852817111
6,Oro Solar,0_500m,0,500,2019,34.766357470718454,0.5659282816373017
6,Oro Solar,500_1000m,500,1000,2019,34.819321189547054,0.5656029926421403
6,Oro Solar,1000_2000m,1000,2000,2019,34.86468821788695,0.5631213898877766
7,Chupampa solar atalaya,0_500m,0,500,2019,35.07840364149134,0.5561710497755746
7,Chupampa solar atalaya,500_1000m,500,1000,2019,35.11713964999435,0.6114055733250177
7,Chupampa solar atalaya,1000_2000m,1000,2000,2019,34.842946317112286,0.6452202673255533
8,Parque Fotovoltaico Paris,0_500m,0,500,2019,34.80190404540137,0.5799319375367668
8,Parque Fotovoltaico Paris,500_1000m,500,1000,2019,34.87226189787621,0.6061907089690358
8,Parque Fotovoltaico Paris,1000_2000m,1000,2000,2019,34.864962198118675,0.6044896255063552
9,Parque Solar Sarigua - Egesa,0_500m,0,500,2019,29.059461766138423,0.6621458184732518
9,Parque Solar Sarigua - Egesa,500_1000m,500,1000,2019,29.250959663829807,0.6348861266891543
9,Parque Solar Sarigua - Egesa,1000_2000m,1000,2000,2019,30.121681855228505,0.5528603276079734
10,Planta fotovoltaica,0_500m,0,500,2019,33.30999584462879,0.6497346662207361
10,Planta fotovoltaica,500_1000m,500,1000,2019,33.4543646783747,0.6488731565707159
10,Planta fotovoltaica,1000_2000m,1000,2000,2019,33.48868783756692,0.6626442616690066
11,Jagüito Solar,0_500m,0,500,2019,35.77251228513422,0.597202295652174
11,Jagüito Solar,500_1000m,500,1000,2019,35.72609532975382,0.6052207167941244
11,Jagüito Solar,1000_2000m,1000,2000,2019,35.51751702122232,0.6056553152218437
12,Planta Solar Don Félix,0_500m,0,500,2019,34.31834217475384,0.5552937876742539
12,Planta Solar Don Félix,500_1000m,500,1000,2019,34.3429890126478,0.6201842964443095
12,Planta Solar Don Félix,1000_2000m,1000,2000,2019,34.24306227419501,0.6229716025996535
13,Divisa Solar,0_500m,0,500,2019,34.595751513397516,0.5318813104978877
13,Divisa Solar,500_1000m,500,1000,2019,34.46274601502835,0.5970454219582139
13,Divisa Solar,1000_2000m,1000,2000,2019,34.23716669365259,0.6228161677893448
14,Milton Solar,0_500m,0,500,2019,33.66166158351755,0.6263380545184472
14,Milton Solar,500_1000m,500,1000,2019,33.74878317102938,0.6411132196028946
14,Milton Solar,1000_2000m,1000,2000,2019,33.77187946912952,0.6520428872326098
15,Parque Fotovoltaico Vista Alegre,0_500m,0,500,2019,34.0487615404661,0.6235059462130115
15,Parque Fotovoltaico Vista Alegre,500_1000m,500,1000,2019,34.05443884272592,0.6206280365663323
15,Parque Fotovoltaico Vista Alegre,1000_2000m,1000,2000,2019,33.916789869275675,0.6299923995770614
16,La Mesa,0_500m,0,500,2019,33.90234646773409,0.6604053539456456
16,La Mesa,500_1000m,500,1000,2019,34.05235161948817,0.6780645372645374
16,La Mesa,1000_2000m,1000,2000,2019,33.83493593524874,0.6736382587320567
17,Campo solar,0_500m,0,500,2019,33.81362108553548,0.6801680196801969
17,Campo solar,500_1000m,500,1000,2019,33.80246299091413,0.6857130897743507
17,Campo solar,1000_2000m,1000,2000,2019,33.9306031999799,0.6748473214086903
18,PV Estrella Solar,0_500m,0,500,2019,31.643081414586078,0.6679261324134981
18,PV Estrella Solar,500_1000m,500,1000,2019,31.801928695543438,0.6787707657864572
18,PV Estrella Solar,1000_2000m,1000,2000,2019,31.55670841827131,0.685546078673676
19,Paneles Solares POCRI,0_500m,0,500,2019,35.13006729890908,0.559844138520964
19,Paneles Solares POCRI,500_1000m,500,1000,2019,35.28263102725891,0.6204049044512183
19,Paneles Solares POCRI,1000_2000m,1000,2000,2019,35.7403531606963,0.5595432423012466
20,Planta Solar Vista Hermosa 1 y 2,0_500m,0,500,2019,35.062104212887064,0.5526704524197643
20,Planta Solar Vista Hermosa 1 y 2,500_1000m,500,1000,2019,35.3334639389708,0.6273770144303427
20,Planta Solar Vista Hermosa 1 y 2,1000_2000m,1000,2000,2019,35.69477747935205,0.5667587543523934
21,PFV Chiriqui Solar,0_500m,0,500,2019,33.02882102352425,0.6785101422511276
21,PFV Chiriqui Solar,500_1000m,500,1000,2019,33.025773927534075,0.6784259732324832
21,PFV Chiriqui Solar,1000_2000m,1000,2000,2019,32.60615793812986,0.678577971801074
22,Andrea’s Solar Plant,0_500m,0,500,2019,33.159770169336475,0.6369866475866957
22,Andrea’s Solar Plant,500_1000m,500,1000,2019,33.31316198625698,0.6467425203483963
22,Andrea’s Solar Plant,1000_2000m,1000,2000,2019,33.10332460678536,0.6594120411444555
23,IKAKO III,0_500m,0,500,2019,33.410170795317796,0.6666774290184959
