id_planta,nombre,anomalia_termica_promedio,ndvi_promedio,nivel_impacto,latitud,longitud
1,Mayorca Solar|AES Panamá,0.26345859525712256,0.5704008236060866,Impacto moderado,7.68028,-80.16241
2,Planta Solar PSZ1,0.09678690239975296,0.55857969039175,Impacto moderado,7.876,-80.324
3,Los Ángeles,0.13597524493990168,0.526965374434866,Impacto moderado,7.8865,-80.3403
4,Planta solar sin nombre 1,-0.01668442523270386,0.5797408437814618,Impacto moderado,7.925333,-80.558611
5,Argentum Solar,0.16391505324561756,0.6813455398463952,Alto impacto,7.97882,-81.16162
6,Oro Solar,-0.14577570171985244,0.5950261241904347,Impacto moderado,8.017,-80.5091
7,Chupampa solar atalaya,0.4319573107132995,0.6260522955434872,Alto impacto,8.04171,-80.92487
8,Parque Fotovoltaico Paris,0.21113882198403594,0.6155933943900618,Impacto moderado,8.044387,-80.559554
9,Parque Solar Sarigua - Egesa,-0.9482442914067012,0.6547989699969546,Bajo impacto,8.092682,-80.498997
10,Planta fotovoltaica,0.04107620955874631,0.6836999030132392,Alto impacto,8.146194,-81.044611
11,Jagüito Solar,0.344941056211007,0.5965460779957559,Impacto moderado,8.17223,-80.6708
12,Planta Solar Don Félix,0.30456530696821155,0.6127814736421745,Impacto moderado,8.1822,-80.7123
13,Divisa Solar,0.5787265158130229,0.5999729568286085,Alto impacto,8.1849,-80.7108
14,Milton Solar,-0.05471171276841856,0.6557729181380058,Impacto moderado,8.188355,-80.731321
15,Parque Fotovoltaico Vista Alegre,0.2280092062728077,0.6394579219095301,Alto impacto,8.1904,-80.7228
16,La Mesa,0.15289634660068632,0.6930473077020076,Alto impacto,8.2214,-81.317
17,Campo solar,0.03301621914926197,0.7035255021637343,Alto impacto,8.2276,-81.3114
18,PV Estrella Solar,0.28135725605105577,0.6876484738943454,Alto impacto,8.2511,-81.988
19,Paneles Solares POCRI,-0.346889595927584,0.5907684495164498,Impacto moderado,8.268194,-80.55295
20,Planta Solar Vista Hermosa 1 y 2,-0.37642774300268045,0.593717806296633,Impacto moderado,8.2693,-80.5532
21,PFV Chiriqui Solar,0.3853727443837123,0.6948752213290982,Alto impacto,8.2702,-82.0022
22,Andrea’s Solar Plant,0.2746692160716379,0.6877827304260019,Alto impacto,8.295601,-81.86751
23,IKAKO III,0.36096884192028406,0.6788258881836621,Alto impacto,8.368881,-82.351609
24,IKAKO II,0.33102774768519233,0.6846383105221937,Alto impacto,8.370957,-82.350461
25,IKAKO I,0.2910844773521453,0.6903516800158421,Alto impacto,8.372442,-82.349641
26,Planta fotovoltaica Ikakos,0.005952839127617031,0.7137175828896049,Alto impacto,8.377311,-82.34695
27,Parque solar Penonomé,0.08259573376270676,0.5388076706479272,Impacto moderado,8.3797,-80.38878
28,Proyecto fotovoltáico Alma Mater | Universidad de Panamá,-0.595082734237794,0.7229717210566833,Bajo impacto,8.381588,-82.33314
29,PV Baco Solar,0.493461492602692,0.6779012282055893,Alto impacto,8.3844,-82.7862
30,Granja Solar Alanje Uno,-0.018885962237798686,0.6387824674433935,Impacto moderado,8.4013,-82.5637
31,Planta Prudencia Solar,0.3167854561645415,0.6554343504919089,Alto impacto,8.417457,-82.347302
32,Sol de David,0.6786407571635797,0.699777379493562,Alto impacto,8.4199,-82.8026
33,Parque Solar La Esperanza,0.46892254971197694,0.6916219017670008,Alto impacto,8.4201,-82.8077
34,PV Sol Real,-0.10824814535098426,0.8211923716442888,Bajo impacto,8.420663,-82.94492
35,Antón Solar 1,0.137383107724138,0.5920147703541879,Impacto moderado,8.4233,-80.1068
36,Parque Fotovoltaico,0.23840057099742143,0.6990137794613294,Alto impacto,8.441,-82.839
37,PV Caldera Solar,0.441246798689761,0.6963625555959672,Alto impacto,8.4423,-82.8344
38,Parque Fotovoltaico AES Caoba Solar,0.3012209608942723,0.6943066197023352,Alto impacto,8.4435,-82.8395
39,Solar Pro,0.27253054718684006,0.6955865973220389,Alto impacto,8.443626,-82.84011
40,El Fraile Solar I,0.6903275836602367,0.6393374882956477,Alto impacto,8.5226,-80.5855
41,Corotú Solar,0.07048464861046051,0.6831073373344783,Alto impacto,8.528,-82.5797
42,Rodeo Solar,-0.006034702161955404,0.6865264091137983,Alto impacto,8.536,-80.0023
43,Estí Solar I,0.2988149295664882,0.7431753268731498,Alto impacto,8.546,-82.2994
44,Coclé Solar 1,0.15447529256333375,0.7060635064362268,Alto impacto,8.6144,-80.4447
45,PV Madre Vieja,-0.4340543737359945,0.719289379350646,Bajo impacto,8.65186,-82.83092
46,Mendozas Solar,0.13164488726302537,0.6251751425272369,Impacto moderado,9.0163,-79.8749
47,Planta solar pacora 2,0.13805350153893567,0.5536091227053538,Impacto moderado,9.070094,-79.238693
48,planta de paneles solares,-0.09100156640685546,0.5676359437419927,Impacto moderado,9.109135,-79.271299
49,Parque Fotovoltaico San Juan,0.03222435084691914,0.6722896177077534,Alto impacto,9.2708,-79.9963
