nombre,latitud,longitud
El Fraile Solar I,8.522600,-80.585500
PV Baco Solar,8.384400,-82.786200
Estí Solar I,8.546000,-82.299400
Planta Solar PSZ1,7.876000,-80.324000
Los Ángeles,7.886500,-80.340300
"8°08'46.3""N 81°02'40.6""W",8.146194,-81.044611
Planta fotovoltaica,8.146194,-81.044611
Coclé Solar 1,8.614400,-80.444700
Paneles Solares POCRI,8.268194,-80.552950
planta de paneles solares,9.109135,-79.271299
La Mesa,8.221400,-81.317000
Rodeo Solar,8.536000,-80.002300
Antón Solar 1,8.423300,-80.106800
Mayorca Solar|AES Panamá,7.680280,-80.162410
Chupampa solar atalaya,8.041710,-80.924870
Argentum Solar,7.978820,-81.161620
Proyecto fotovoltáico Alma Mater | Universidad de Panamá,8.381588,-82.333140
IKAKO I,8.372442,-82.349641
IKAKO III,8.368881,-82.351609
IKAKO II,8.370957,-82.350461
Parque Fotovoltaico AES Caoba Solar,8.443500,-82.839500
Corotú Solar,8.528000,-82.579700
Granja Solar Alanje Uno,8.401300,-82.563700
Proyecto Estí Solar AES,8.546000,-82.299400
Planta fotovoltaica Ikakos,8.377311,-82.346950
Planta Prudencia Solar,8.417457,-82.347302
Parque Fotovoltaico San Juan,9.270800,-79.996300
PFV Chiriqui Solar,8.270200,-82.002200
Andrea’s Solar Plant,8.295601,-81.867510
Parque Fotovoltaico Paris,8.044387,-80.559554
Campo solar,8.227600,-81.311400
Oro Solar,8.017000,-80.509100
"7°55'31.2""N 80°33'31.0""W",7.925333,-80.558611
Sol de David,8.419900,-82.802600
PV Caldera Solar,8.442300,-82.834400
Parque Solar La Esperanza,8.420100,-82.807700
PV Madre Vieja,8.651860,-82.830920
Solar Pro,8.443626,-82.840110
"8°26'27.6""N 82°50'20.4""W",8.441000,-82.839000
Parque Fotovoltaico,8.441000,-82.839000
Parque Solar Sarigua - Egesa,8.092682,-80.498997
Planta Solar Vista Hermosa 1 y 2,8.269300,-80.553200
Jagüito Solar,8.172230,-80.670800
PV Estrella Solar,8.251100,-81.988000
Milton Solar,8.188355,-80.731321
Parque Fotovoltaico Vista Alegre,8.190400,-80.722800
PV Sol Real,8.420663,-82.944920
Divisa Solar,8.184900,-80.710800
Planta Solar Don Félix,8.182200,-80.712300
Parque solar Penonomé,8.379700,-80.388780
Planta solar pacora 2,9.070094,-79.238693
Mendozas Solar,9.016300,-79.874900
